Training: 2024-09-20 15:52:20,370-rank_id: 0
Training: 2024-09-20 22:30:18,570-[lfw][22000]Accuracy-Highest: 0.99700
Training: 2024-09-20 22:30:42,602-[cfp_fp][22000]XNorm: 19.176038
Training: 2024-09-20 22:30:42,602-[cfp_fp][22000]Accuracy-Flip: 0.96057+-0.00908
Training: 2024-09-20 22:30:42,602-[cfp_fp][22000]Accuracy-Highest: 0.96057
Training: 2024-09-20 22:31:03,278-[agedb_30][22000]XNorm: 22.221525
Training: 2024-09-20 22:31:03,278-[agedb_30][22000]Accuracy-Flip: 0.96650+-0.00677
Training: 2024-09-20 22:31:03,278-[agedb_30][22000]Accuracy-Highest: 0.96667
Training: 2024-09-20 22:31:13,769-Speed 33.95 samples/sec   Loss 6.7235   ReconLoss 0.0852  LearningRate 0.006912   Epoch: 2   Global Step: 22010   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:31:24,236-Speed 254.99 samples/sec   Loss 7.5161   ReconLoss 0.0833  LearningRate 0.006912   Epoch: 2   Global Step: 22020   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:31:34,728-Speed 254.00 samples/sec   Loss 7.6994   ReconLoss 0.0845  LearningRate 0.006911   Epoch: 2   Global Step: 22030   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:31:45,217-Speed 254.37 samples/sec   Loss 6.4209   ReconLoss 0.0876  LearningRate 0.006911   Epoch: 2   Global Step: 22040   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:31:55,738-Speed 253.33 samples/sec   Loss 6.2056   ReconLoss 0.0877  LearningRate 0.006910   Epoch: 2   Global Step: 22050   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:32:06,304-Speed 252.25 samples/sec   Loss 6.5375   ReconLoss 0.0850  LearningRate 0.006910   Epoch: 2   Global Step: 22060   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:32:16,837-Speed 253.17 samples/sec   Loss 7.2918   ReconLoss 0.0900  LearningRate 0.006909   Epoch: 2   Global Step: 22070   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:32:27,287-Speed 254.95 samples/sec   Loss 7.4672   ReconLoss 0.0895  LearningRate 0.006909   Epoch: 2   Global Step: 22080   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:32:37,826-Speed 252.88 samples/sec   Loss 6.5471   ReconLoss 0.0874  LearningRate 0.006908   Epoch: 2   Global Step: 22090   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:32:48,396-Speed 252.41 samples/sec   Loss 6.6811   ReconLoss 0.0853  LearningRate 0.006908   Epoch: 2   Global Step: 22100   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:32:59,001-Speed 251.45 samples/sec   Loss 6.9230   ReconLoss 0.0892  LearningRate 0.006907   Epoch: 2   Global Step: 22110   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:33:09,563-Speed 252.33 samples/sec   Loss 7.0492   ReconLoss 0.0892  LearningRate 0.006907   Epoch: 2   Global Step: 22120   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:33:20,100-Speed 252.99 samples/sec   Loss 7.4156   ReconLoss 0.0892  LearningRate 0.006906   Epoch: 2   Global Step: 22130   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:33:30,673-Speed 252.17 samples/sec   Loss 6.1604   ReconLoss 0.0888  LearningRate 0.006906   Epoch: 2   Global Step: 22140   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:33:41,319-Speed 250.26 samples/sec   Loss 6.4738   ReconLoss 0.0873  LearningRate 0.006905   Epoch: 2   Global Step: 22150   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:33:51,965-Speed 250.12 samples/sec   Loss 6.0663   ReconLoss 0.0868  LearningRate 0.006905   Epoch: 2   Global Step: 22160   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:34:02,521-Speed 252.44 samples/sec   Loss 6.9059   ReconLoss 0.0910  LearningRate 0.006904   Epoch: 2   Global Step: 22170   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:34:13,101-Speed 251.85 samples/sec   Loss 7.0682   ReconLoss 0.0869  LearningRate 0.006904   Epoch: 2   Global Step: 22180   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:34:23,698-Speed 251.68 samples/sec   Loss 6.5810   ReconLoss 0.0890  LearningRate 0.006903   Epoch: 2   Global Step: 22190   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:34:34,217-Speed 253.72 samples/sec   Loss 6.4300   ReconLoss 0.0855  LearningRate 0.006903   Epoch: 2   Global Step: 22200   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:34:44,781-Speed 252.58 samples/sec   Loss 6.4090   ReconLoss 0.0827  LearningRate 0.006902   Epoch: 2   Global Step: 22210   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:34:55,314-Speed 253.28 samples/sec   Loss 7.5451   ReconLoss 0.0851  LearningRate 0.006902   Epoch: 2   Global Step: 22220   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:35:05,857-Speed 252.65 samples/sec   Loss 6.2992   ReconLoss 0.0852  LearningRate 0.006901   Epoch: 2   Global Step: 22230   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:35:16,366-Speed 253.52 samples/sec   Loss 6.5793   ReconLoss 0.0842  LearningRate 0.006901   Epoch: 2   Global Step: 22240   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:35:26,965-Speed 251.35 samples/sec   Loss 7.0260   ReconLoss 0.0895  LearningRate 0.006900   Epoch: 2   Global Step: 22250   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:35:37,608-Speed 250.46 samples/sec   Loss 6.2815   ReconLoss 0.0861  LearningRate 0.006900   Epoch: 2   Global Step: 22260   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:35:48,131-Speed 253.56 samples/sec   Loss 6.6807   ReconLoss 0.0902  LearningRate 0.006899   Epoch: 2   Global Step: 22270   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:35:58,684-Speed 252.67 samples/sec   Loss 7.7943   ReconLoss 0.0914  LearningRate 0.006899   Epoch: 2   Global Step: 22280   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:36:09,231-Speed 252.96 samples/sec   Loss 6.8040   ReconLoss 0.0856  LearningRate 0.006898   Epoch: 2   Global Step: 22290   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:36:19,868-Speed 250.65 samples/sec   Loss 6.1019   ReconLoss 0.0885  LearningRate 0.006898   Epoch: 2   Global Step: 22300   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:36:30,353-Speed 254.22 samples/sec   Loss 7.2566   ReconLoss 0.0856  LearningRate 0.006897   Epoch: 2   Global Step: 22310   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:36:40,929-Speed 252.02 samples/sec   Loss 7.2814   ReconLoss 0.0862  LearningRate 0.006897   Epoch: 2   Global Step: 22320   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:36:51,579-Speed 250.50 samples/sec   Loss 6.4974   ReconLoss 0.0922  LearningRate 0.006896   Epoch: 2   Global Step: 22330   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:37:02,185-Speed 251.18 samples/sec   Loss 7.1986   ReconLoss 0.0897  LearningRate 0.006896   Epoch: 2   Global Step: 22340   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:37:12,779-Speed 251.55 samples/sec   Loss 5.6340   ReconLoss 0.0929  LearningRate 0.006895   Epoch: 2   Global Step: 22350   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:37:23,252-Speed 254.82 samples/sec   Loss 7.7938   ReconLoss 0.0911  LearningRate 0.006895   Epoch: 2   Global Step: 22360   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:37:33,798-Speed 252.84 samples/sec   Loss 6.7434   ReconLoss 0.0860  LearningRate 0.006894   Epoch: 2   Global Step: 22370   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:37:44,396-Speed 251.36 samples/sec   Loss 6.9164   ReconLoss 0.0863  LearningRate 0.006894   Epoch: 2   Global Step: 22380   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:37:55,031-Speed 250.68 samples/sec   Loss 6.4790   ReconLoss 0.0852  LearningRate 0.006893   Epoch: 2   Global Step: 22390   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:38:05,559-Speed 253.07 samples/sec   Loss 6.7236   ReconLoss 0.0871  LearningRate 0.006893   Epoch: 2   Global Step: 22400   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:38:16,114-Speed 252.67 samples/sec   Loss 6.8987   ReconLoss 0.0920  LearningRate 0.006892   Epoch: 2   Global Step: 22410   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:38:26,637-Speed 253.50 samples/sec   Loss 6.9369   ReconLoss 0.0892  LearningRate 0.006892   Epoch: 2   Global Step: 22420   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:38:37,192-Speed 252.51 samples/sec   Loss 7.2424   ReconLoss 0.0864  LearningRate 0.006891   Epoch: 2   Global Step: 22430   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:38:47,806-Speed 251.10 samples/sec   Loss 7.5187   ReconLoss 0.0889  LearningRate 0.006891   Epoch: 2   Global Step: 22440   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:38:58,354-Speed 252.36 samples/sec   Loss 7.7514   ReconLoss 0.0923  LearningRate 0.006890   Epoch: 2   Global Step: 22450   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:39:08,930-Speed 251.87 samples/sec   Loss 6.6102   ReconLoss 0.0890  LearningRate 0.006890   Epoch: 2   Global Step: 22460   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:39:19,549-Speed 250.67 samples/sec   Loss 6.5843   ReconLoss 0.0853  LearningRate 0.006889   Epoch: 2   Global Step: 22470   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:39:30,109-Speed 252.22 samples/sec   Loss 6.2176   ReconLoss 0.0858  LearningRate 0.006889   Epoch: 2   Global Step: 22480   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:39:40,777-Speed 249.86 samples/sec   Loss 6.4031   ReconLoss 0.0865  LearningRate 0.006888   Epoch: 2   Global Step: 22490   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:39:51,323-Speed 252.87 samples/sec   Loss 7.1949   ReconLoss 0.0853  LearningRate 0.006888   Epoch: 2   Global Step: 22500   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:40:01,829-Speed 254.04 samples/sec   Loss 6.2860   ReconLoss 0.0864  LearningRate 0.006887   Epoch: 2   Global Step: 22510   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:40:12,376-Speed 252.62 samples/sec   Loss 6.7095   ReconLoss 0.0891  LearningRate 0.006887   Epoch: 2   Global Step: 22520   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:40:22,938-Speed 252.33 samples/sec   Loss 6.9230   ReconLoss 0.0907  LearningRate 0.006886   Epoch: 2   Global Step: 22530   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:40:33,439-Speed 253.86 samples/sec   Loss 7.2359   ReconLoss 0.0905  LearningRate 0.006886   Epoch: 2   Global Step: 22540   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:40:44,003-Speed 252.27 samples/sec   Loss 6.8988   ReconLoss 0.0868  LearningRate 0.006885   Epoch: 2   Global Step: 22550   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:40:54,563-Speed 252.39 samples/sec   Loss 7.7176   ReconLoss 0.0926  LearningRate 0.006885   Epoch: 2   Global Step: 22560   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:41:05,128-Speed 252.03 samples/sec   Loss 8.1900   ReconLoss 0.0882  LearningRate 0.006884   Epoch: 2   Global Step: 22570   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:41:15,797-Speed 249.90 samples/sec   Loss 6.0342   ReconLoss 0.0857  LearningRate 0.006884   Epoch: 2   Global Step: 22580   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:41:26,281-Speed 254.35 samples/sec   Loss 7.5359   ReconLoss 0.0924  LearningRate 0.006883   Epoch: 2   Global Step: 22590   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:41:36,860-Speed 251.94 samples/sec   Loss 6.9630   ReconLoss 0.0934  LearningRate 0.006883   Epoch: 2   Global Step: 22600   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:41:47,457-Speed 251.53 samples/sec   Loss 7.3636   ReconLoss 0.0883  LearningRate 0.006882   Epoch: 2   Global Step: 22610   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:41:58,038-Speed 251.83 samples/sec   Loss 6.1252   ReconLoss 0.0865  LearningRate 0.006882   Epoch: 2   Global Step: 22620   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:42:08,589-Speed 252.25 samples/sec   Loss 6.5696   ReconLoss 0.0913  LearningRate 0.006881   Epoch: 2   Global Step: 22630   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:42:19,158-Speed 251.93 samples/sec   Loss 6.8083   ReconLoss 0.0876  LearningRate 0.006881   Epoch: 2   Global Step: 22640   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:42:29,734-Speed 251.95 samples/sec   Loss 7.1004   ReconLoss 0.0892  LearningRate 0.006880   Epoch: 2   Global Step: 22650   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:42:40,318-Speed 251.66 samples/sec   Loss 6.3903   ReconLoss 0.0866  LearningRate 0.006880   Epoch: 2   Global Step: 22660   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:42:50,904-Speed 251.67 samples/sec   Loss 6.0669   ReconLoss 0.0908  LearningRate 0.006879   Epoch: 2   Global Step: 22670   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:43:01,409-Speed 253.80 samples/sec   Loss 6.7772   ReconLoss 0.0822  LearningRate 0.006879   Epoch: 2   Global Step: 22680   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:43:12,069-Speed 249.76 samples/sec   Loss 7.1381   ReconLoss 0.0886  LearningRate 0.006879   Epoch: 2   Global Step: 22690   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:43:22,589-Speed 253.21 samples/sec   Loss 7.1046   ReconLoss 0.0851  LearningRate 0.006878   Epoch: 2   Global Step: 22700   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:43:33,130-Speed 252.73 samples/sec   Loss 6.6309   ReconLoss 0.0850  LearningRate 0.006878   Epoch: 2   Global Step: 22710   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:43:43,690-Speed 252.27 samples/sec   Loss 7.0327   ReconLoss 0.0885  LearningRate 0.006877   Epoch: 2   Global Step: 22720   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:43:54,237-Speed 252.65 samples/sec   Loss 6.4969   ReconLoss 0.0862  LearningRate 0.006877   Epoch: 2   Global Step: 22730   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:44:04,790-Speed 252.53 samples/sec   Loss 6.8120   ReconLoss 0.0889  LearningRate 0.006876   Epoch: 2   Global Step: 22740   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:44:15,286-Speed 253.85 samples/sec   Loss 6.5446   ReconLoss 0.0840  LearningRate 0.006876   Epoch: 2   Global Step: 22750   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:44:25,902-Speed 250.86 samples/sec   Loss 7.4632   ReconLoss 0.0873  LearningRate 0.006875   Epoch: 2   Global Step: 22760   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:44:36,431-Speed 253.06 samples/sec   Loss 6.9871   ReconLoss 0.0864  LearningRate 0.006875   Epoch: 2   Global Step: 22770   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:44:47,112-Speed 249.23 samples/sec   Loss 7.1547   ReconLoss 0.0855  LearningRate 0.006874   Epoch: 2   Global Step: 22780   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:44:57,713-Speed 251.30 samples/sec   Loss 6.7351   ReconLoss 0.0879  LearningRate 0.006874   Epoch: 2   Global Step: 22790   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:45:08,207-Speed 253.92 samples/sec   Loss 7.0642   ReconLoss 0.0860  LearningRate 0.006873   Epoch: 2   Global Step: 22800   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:45:18,818-Speed 251.38 samples/sec   Loss 6.1348   ReconLoss 0.0917  LearningRate 0.006873   Epoch: 2   Global Step: 22810   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:45:29,410-Speed 251.65 samples/sec   Loss 5.9188   ReconLoss 0.0900  LearningRate 0.006872   Epoch: 2   Global Step: 22820   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:45:39,993-Speed 251.96 samples/sec   Loss 6.5297   ReconLoss 0.0912  LearningRate 0.006872   Epoch: 2   Global Step: 22830   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:45:50,544-Speed 252.62 samples/sec   Loss 7.0293   ReconLoss 0.0950  LearningRate 0.006871   Epoch: 2   Global Step: 22840   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:46:01,165-Speed 250.81 samples/sec   Loss 6.2888   ReconLoss 0.0937  LearningRate 0.006871   Epoch: 2   Global Step: 22850   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:46:11,786-Speed 250.75 samples/sec   Loss 7.2543   ReconLoss 0.0875  LearningRate 0.006870   Epoch: 2   Global Step: 22860   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:46:22,305-Speed 253.16 samples/sec   Loss 6.3367   ReconLoss 0.0936  LearningRate 0.006870   Epoch: 2   Global Step: 22870   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:46:32,911-Speed 251.25 samples/sec   Loss 7.7175   ReconLoss 0.0879  LearningRate 0.006869   Epoch: 2   Global Step: 22880   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:46:43,453-Speed 252.88 samples/sec   Loss 6.8506   ReconLoss 0.0891  LearningRate 0.006869   Epoch: 2   Global Step: 22890   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:46:54,001-Speed 252.72 samples/sec   Loss 6.7070   ReconLoss 0.0888  LearningRate 0.006868   Epoch: 2   Global Step: 22900   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:47:04,641-Speed 250.25 samples/sec   Loss 6.8926   ReconLoss 0.0900  LearningRate 0.006868   Epoch: 2   Global Step: 22910   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:47:15,162-Speed 253.33 samples/sec   Loss 6.5095   ReconLoss 0.0894  LearningRate 0.006867   Epoch: 2   Global Step: 22920   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:47:25,736-Speed 251.95 samples/sec   Loss 6.1410   ReconLoss 0.0851  LearningRate 0.006867   Epoch: 2   Global Step: 22930   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:47:36,324-Speed 251.87 samples/sec   Loss 5.9494   ReconLoss 0.0944  LearningRate 0.006866   Epoch: 2   Global Step: 22940   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:47:46,909-Speed 251.83 samples/sec   Loss 5.9495   ReconLoss 0.0895  LearningRate 0.006866   Epoch: 2   Global Step: 22950   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:47:57,407-Speed 253.73 samples/sec   Loss 7.6454   ReconLoss 0.0892  LearningRate 0.006865   Epoch: 2   Global Step: 22960   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:48:07,975-Speed 252.08 samples/sec   Loss 7.5248   ReconLoss 0.0858  LearningRate 0.006865   Epoch: 2   Global Step: 22970   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:48:18,542-Speed 252.18 samples/sec   Loss 6.6365   ReconLoss 0.0859  LearningRate 0.006864   Epoch: 2   Global Step: 22980   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:48:29,137-Speed 251.56 samples/sec   Loss 6.4311   ReconLoss 0.0875  LearningRate 0.006864   Epoch: 2   Global Step: 22990   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:48:39,748-Speed 251.13 samples/sec   Loss 6.6128   ReconLoss 0.0881  LearningRate 0.006863   Epoch: 2   Global Step: 23000   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:48:50,284-Speed 253.17 samples/sec   Loss 6.9701   ReconLoss 0.0859  LearningRate 0.006863   Epoch: 2   Global Step: 23010   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:49:00,865-Speed 252.06 samples/sec   Loss 5.6543   ReconLoss 0.0831  LearningRate 0.006862   Epoch: 2   Global Step: 23020   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-09-20 22:49:11,551-Speed 249.30 samples/sec   Loss 7.7452   ReconLoss 0.0908  LearningRate 0.006862   Epoch: 2   Global Step: 23030   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:49:22,207-Speed 249.83 samples/sec   Loss 7.0064   ReconLoss 0.0892  LearningRate 0.006861   Epoch: 2   Global Step: 23040   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:49:32,723-Speed 253.38 samples/sec   Loss 6.9745   ReconLoss 0.0834  LearningRate 0.006861   Epoch: 2   Global Step: 23050   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:49:43,358-Speed 250.40 samples/sec   Loss 6.1520   ReconLoss 0.0836  LearningRate 0.006860   Epoch: 2   Global Step: 23060   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:49:53,885-Speed 252.96 samples/sec   Loss 7.4814   ReconLoss 0.0876  LearningRate 0.006860   Epoch: 2   Global Step: 23070   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:50:04,479-Speed 251.33 samples/sec   Loss 6.1036   ReconLoss 0.0884  LearningRate 0.006859   Epoch: 2   Global Step: 23080   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:50:15,019-Speed 252.59 samples/sec   Loss 6.6464   ReconLoss 0.0899  LearningRate 0.006859   Epoch: 2   Global Step: 23090   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:50:25,588-Speed 252.28 samples/sec   Loss 7.1272   ReconLoss 0.0882  LearningRate 0.006858   Epoch: 2   Global Step: 23100   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:50:36,181-Speed 251.73 samples/sec   Loss 7.3639   ReconLoss 0.0888  LearningRate 0.006858   Epoch: 2   Global Step: 23110   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:50:46,718-Speed 253.23 samples/sec   Loss 7.8741   ReconLoss 0.0869  LearningRate 0.006857   Epoch: 2   Global Step: 23120   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:50:57,251-Speed 253.41 samples/sec   Loss 7.1205   ReconLoss 0.0868  LearningRate 0.006857   Epoch: 2   Global Step: 23130   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:51:07,775-Speed 253.54 samples/sec   Loss 7.2580   ReconLoss 0.0876  LearningRate 0.006856   Epoch: 2   Global Step: 23140   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:51:18,270-Speed 253.89 samples/sec   Loss 7.1466   ReconLoss 0.0844  LearningRate 0.006856   Epoch: 2   Global Step: 23150   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:51:28,922-Speed 250.08 samples/sec   Loss 6.9202   ReconLoss 0.0893  LearningRate 0.006855   Epoch: 2   Global Step: 23160   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:51:39,467-Speed 252.84 samples/sec   Loss 7.0898   ReconLoss 0.0870  LearningRate 0.006855   Epoch: 2   Global Step: 23170   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:51:49,992-Speed 253.32 samples/sec   Loss 6.4891   ReconLoss 0.0925  LearningRate 0.006854   Epoch: 2   Global Step: 23180   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:52:00,536-Speed 253.02 samples/sec   Loss 6.9992   ReconLoss 0.0918  LearningRate 0.006854   Epoch: 2   Global Step: 23190   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:52:11,103-Speed 252.46 samples/sec   Loss 6.8873   ReconLoss 0.0904  LearningRate 0.006853   Epoch: 2   Global Step: 23200   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:52:21,678-Speed 251.87 samples/sec   Loss 7.3598   ReconLoss 0.0867  LearningRate 0.006853   Epoch: 2   Global Step: 23210   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:52:32,237-Speed 252.65 samples/sec   Loss 7.2348   ReconLoss 0.0884  LearningRate 0.006852   Epoch: 2   Global Step: 23220   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:52:42,760-Speed 253.60 samples/sec   Loss 7.1419   ReconLoss 0.0885  LearningRate 0.006852   Epoch: 2   Global Step: 23230   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:52:53,405-Speed 250.68 samples/sec   Loss 6.8343   ReconLoss 0.0889  LearningRate 0.006851   Epoch: 2   Global Step: 23240   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:53:03,952-Speed 252.99 samples/sec   Loss 7.1359   ReconLoss 0.0881  LearningRate 0.006851   Epoch: 2   Global Step: 23250   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:53:14,584-Speed 250.98 samples/sec   Loss 7.5052   ReconLoss 0.0873  LearningRate 0.006850   Epoch: 2   Global Step: 23260   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-09-20 22:53:25,123-Speed 253.15 samples/sec   Loss 7.3470   ReconLoss 0.0910  LearningRate 0.006850   Epoch: 2   Global Step: 23270   Fp16 Grad Scale: 32768   Required: 42 hours
